title,video_id,published_at,duration,like_count,dislike_count,comment_count,tags,channel_title,category,video_url,,,,,year,month,duration_minutes,category_name
The race for artificial intelligence - Can Europe compete? | DW Documentary,i8ljZYzn0Uc,2023-08-18T16:00:38Z,PT21M29S,4164,0,452,"['Documentary', 'Documentaries', 'documentaries', 'DW documentary', 'full documentary', 'DW', 'documentary 2022', 'documentary 2023', 'Artificial Intelligence', 'AI', 'Technology', 'Regulation', 'ChatGPT', 'Europe', 'AI documentary']",DW Documentary,27,https://www.youtube.com/watch?v=i8ljZYzn0Uc,,,,,2023,8,21,Education
AI Genius Oliver Edholm - What&#39;s next for Artificial Intelligence?,WVXokMchP24,2023-08-30T06:57:18Z,PT27M38S,17,0,1,[],Rejlers Play,28,https://www.youtube.com/watch?v=WVXokMchP24,,,,,2023,8,27,Science & Technology
Sky News Australia interviews &#39;free-thinking&#39; artificial intelligence,nnboHTfYsfk,2023-08-29T10:47:35Z,PT6M30S,590,0,392,"['6335823593112', 'business', 'fb', 'msn', 'technology', 'yt']",Sky News Australia,25,https://www.youtube.com/watch?v=nnboHTfYsfk,,,,,2023,8,6,News & Politics
AI: What is the future of artificial intelligence? - BBC News,LK5j3pp0Too,2023-04-21T21:45:19Z,PT16M39S,3524,0,785,"['bbc', 'bbc news', 'news']",BBC News,25,https://www.youtube.com/watch?v=LK5j3pp0Too,,,,,2023,4,16,News & Politics
Artificial Intelligence: Are machines poised to take control? | To the point,kl40BH3fuwA,2023-06-08T17:45:01Z,PT26M8S,1116,0,301,['DW News'],DW News,25,https://www.youtube.com/watch?v=kl40BH3fuwA,,,,,2023,6,26,News & Politics
Rise of artificial intelligence has actors fearing for their careers,uceGs5YRSZA,2023-08-22T17:11:52Z,PT2M3S,137,0,77,"['Artificial Intelligence', 'AI', 'Technology', 'Hollywood', 'Entertainment', 'United States Congress', 'Strike', 'CBS News', 'U.S.']",CBS News,25,https://www.youtube.com/watch?v=uceGs5YRSZA,,,,,2023,8,2,News & Politics
Inside the growing promise and peril of artificial intelligence,En9wYq6MXXE,2023-05-07T19:30:00Z,PT4M57S,142,0,39,"['Today', 'Today Show', 'Savannah Guthrie', 'Al Roker', 'Natalie Morales', 'domestic news', 'international news', 'weather', 'interviews', 'politics', 'money', 'media', 'entertainment', 'sports', 'breaking news', 'food', 'health', 'home', 'parents', 'style', 'concerts', 'pets', 'shopping', 'Hoda Kotb']",TODAY,25,https://www.youtube.com/watch?v=En9wYq6MXXE,,,,,2023,5,4,News & Politics
Full interview: &quot;Godfather of artificial intelligence&quot; talks impact and potential of AI,qpoRO378qRY,2023-03-25T12:40:00Z,PT42M30S,24792,0,2391,[],CBS Mornings,25,https://www.youtube.com/watch?v=qpoRO378qRY,,,,,2023,3,42,News & Politics
"Artificial intelligence is rapidly developing, but how does it work? Experts explain.",APliuwGYDNc,2023-03-22T23:56:16Z,PT7M9S,349,0,72,[],NBC News,25,https://www.youtube.com/watch?v=APliuwGYDNc,,,,,2023,3,7,News & Politics
AI &#39;godfather&#39; quits Google over dangers of Artificial Intelligence - BBC News,DsBGaHywRhs,2023-05-02T12:00:13Z,PT5M47S,8453,0,2319,"['bbc', 'bbc news', 'news']",BBC News,25,https://www.youtube.com/watch?v=DsBGaHywRhs,,,,,2023,5,5,News & Politics
Can artificial intelligence bring a new tech boom to San Francisco?,TpZDuX1rQeM,2023-07-27T00:30:21Z,PT3M10S,50,0,52,"['Health', 'International News', 'Lester Holt', 'Making A Difference', 'NBC Nightly News', 'National News', 'News', 'Nightly News', 'U.S. News', 'breaking news', 'evening news', 'politics', 'world news']",NBC News,25,https://www.youtube.com/watch?v=TpZDuX1rQeM,,,,,2023,7,3,News & Politics
Artificial Intelligence: How will the rise of AI impact society? |  LiveNOW from FOX,A-wCBj6FQT0,2023-05-19T17:05:02Z,PT10M24S,135,0,49,"['news', 'united states', 'politics', 'artificial intelligence and society', 'impact of AI on jobs in the united states', 'artificial intelligence in the united states', 'will artificial intelligence take jobs', 'university of notre dame fighting irish', 'computer science professor', 'emerging technology', 'computer science and artificial intelligence', 'tim weninger notre dame', 'jobs in the united states', 'debt ceiling deadline', 'economy united states', 'ai in presidential election', 'ai taking over jobs']",LiveNOW from FOX,25,https://www.youtube.com/watch?v=A-wCBj6FQT0,,,,,2023,5,10,News & Politics
Artificial intelligence and algorithms: pros and cons | DW Documentary (AI documentary),s0dMTAQM4cw,2019-09-26T18:00:05Z,PT42M26S,79643,0,9609,"['Documentary', 'Documentaries', 'documentaries', 'DW documentary', 'DW documentary 2019', 'full documentary', 'documentary 2019', 'DW', 'beyond the news', 'artificial intelligence', 'AI', 'algorithms', 'technological singularity', 'surveillance state', 'autonomous driving', 'future societies', 'Ranga Yogeshwar']",DW Documentary,27,https://www.youtube.com/watch?v=s0dMTAQM4cw,,,,,2019,9,42,Education
Bill Gates speaks out on artificial intelligence,s1qZbsytk08,2023-05-09T00:08:22Z,PT3M45S,1483,0,467,"['ABC', 'AI', 'Artificial', 'Bill', 'Business', 'Gates', 'News', 'Technology', 'Tonight', 'World', 'intelligence', 'interview', 'on', 'p_cmsid=2494279', 'p_vid=news-99181293']",ABC News,25,https://www.youtube.com/watch?v=s1qZbsytk08,,,,,2023,5,3,News & Politics
How much of a threat is Artificial Intelligence? | Inside Story,0rXLI4Xt_WI,2023-03-31T17:30:00Z,PT27M31S,1539,0,270,"['AI', 'AI chatbot', 'AI systems', 'Al Jazeera', 'Al Jazeera English', 'ChatGPT3', 'Elon Musk', 'GPT', 'GPT-4', 'OpenAI', 'actors', 'al Jazeera', 'al jazeera English', 'al jazeera live', 'al jazeera video', 'aljazeera English', 'aljazeera latest', 'aljazeera live', 'aljazeera live news', 'artificial', 'artificial intelligence', 'confident', 'industry', 'intelligence', 'latest news', 'news headlines', 'positive', 'risks', 'tech experts', 'technology']",Al Jazeera English,25,https://www.youtube.com/watch?v=0rXLI4Xt_WI,,,,,2023,3,27,News & Politics
&quot;Godfather of artificial intelligence&quot; talks impact and potential of new AI,uG2SKIdLUj4,2023-03-25T13:07:20Z,PT8M18S,2145,0,365,"['CBS Saturday Morning', 'CBS News', 'video', 'geoffrey hinton', 'artificial intelligence', 'technology', 'chatgpt']",CBS Mornings,25,https://www.youtube.com/watch?v=uG2SKIdLUj4,,,,,2023,3,8,News & Politics
Artificial Intelligence (Official Video),uTl8ZYImjBQ,2021-08-05T21:36:52Z,PT4M1S,78425,0,3164,"['robot', 'vocoder', 'talkbox', 'talk box', 'daft punk', 'artificial intelligence', 'pop', 'music', 'music comedy', 'tom cardy', 'tom', 'cardy', 'dick pick']",tom cardy,23,https://www.youtube.com/watch?v=uTl8ZYImjBQ,,,,,2021,8,4,Comedy
Elon Musk calls for artificial intelligence pause,jJbKdue5vdc,2023-03-30T10:58:57Z,PT2M14S,665,0,424,"['AI', 'Elon', 'Musk', 'abc', 'abcnews', 'artificial', 'intelligence', 'p_cmsid=2494279', 'p_vid=news-98228741', 'risk', 'safety', 'society', 'technology', 'to']",ABC News,25,https://www.youtube.com/watch?v=jJbKdue5vdc,,,,,2023,3,2,News & Politics
AI Summit showcases latest developments in artificial intelligence | 7NEWS,ds0kGaWIIrA,2023-06-29T13:30:13Z,PT2M27S,28,0,0,"['7NEWS', 'Seven News', '7NEWS Australia', 'latest news', 'news australia', 'Australian news today', '7news australia', '7 news', '7 news live', 'seven news australia', 'channel 7', 'latest news australia', 'latest news today', 'news live', 'australian news', 'breaking news', '7news live', 'sydney news', 'melbourne news', 'qld news', 'adelaide news', 'perth news']",7NEWS Australia,25,https://www.youtube.com/watch?v=ds0kGaWIIrA,,,,,2023,6,2,News & Politics
&#39;Artificial Intelligence could pollute the world with misinformation&#39;,VVumVZ5jlzE,2023-05-21T19:38:58Z,PT2M47S,116,0,80,"['SKY NEWS LIVE', 'SKY NEWS LATEST', 'SKY NEWS', 'SKY LIVE', 'WATCH SKY NEWS', 'WATCH SKY LIVE', 'AI', 'ARTIFICIAL INTELLIGENCE', 'artificial intelligence', 'Emad Mostaque', 'Stability AI', 'GPT4', ""OpenAI's GPT4"", 'Tom Clarke', 'Epsom College', 'OpenAI', 'Sam Altman', 'United States Congress', 'Daria Bakshandaeva', 'Getty Images', 'News Guard']",Sky News,24,https://www.youtube.com/watch?v=VVumVZ5jlzE,,,,,2023,5,2,Entertainment
Artificial Intelligence helps woman speak after 18 years without a voice,LLPLDY_Kg-M,2023-08-24T16:36:06Z,PT2M1S,112,0,8,"['[ national', 'news ]']",WHAS11,25,https://www.youtube.com/watch?v=LLPLDY_Kg-M,,,,,2023,8,2,News & Politics
AI vs Machine Learning,4RixMPF4xis,2023-04-10T11:00:03Z,PT5M49S,15310,0,368,"['IBM', 'IBM Cloud', 'ai', 'artificialintelligence', 'artificial intelligence', 'ML', 'machinelearning', 'machine learning', 'deep learning', 'deeplearning']",IBM Technology,27,https://www.youtube.com/watch?v=4RixMPF4xis,,,,,2023,4,5,Education
Bill Gates says government isn’t ready to regulate artificial intelligence,G3Ov4lXIJ1E,2023-05-08T14:49:30Z,PT9M43S,2199,0,950,"['AI', 'Bill', 'ChatGPT', 'Gates', 'Government', 'Microsoft', 'Regulate', 'abc', 'abcnl', 'news', 'p_cmsid=2494279', 'p_vid=news-99168036', 'regulatory', 'technology', 'update']",ABC News,25,https://www.youtube.com/watch?v=G3Ov4lXIJ1E,,,,,2023,5,9,News & Politics
7 FREE AI Courses To Become an AI Developer in 2023 🔥| Ishan Sharma,ji93Lo6wYnk,2023-06-24T15:04:18Z,PT12M5S,10640,0,218,"['ishan sharma', 'BEST AI COURSES To Become an AI Developer in 2023', 'artificial intelligence', 'Artificial Intelligence Tutorial for Beginners', 'artificial intelligence course for beginners', 'what is artificial intelligence', 'artificial intelligence for beginners', 'ai developer', 'ai course', 'coding', 'programming', 'machine learning', 'data science', 'developer', 'development', 'coding courses', 'learn to code', 'ai for beginners', 'chatgpt', 'google bard', 'best', 'free google course', 'free courses', 'ai engineer', 'aiml']",Ishan Sharma,24,https://www.youtube.com/watch?v=ji93Lo6wYnk,,,,,2023,6,12,Entertainment
What is AI? Artificial Intelligence Explained,rJ1Qao09CFI,2021-12-04T16:42:51Z,PT3M31S,25434,0,733,"['ai', 'ml', 'artificial intelligence', 'machine learning', 'data science']",Apna College,27,https://www.youtube.com/watch?v=rJ1Qao09CFI,,,,,2021,12,3,Education
4 Ways Artificial Intelligence is Transforming Healthcare,TfkHrvct1hg,2023-06-24T15:00:29Z,PT9M41S,625,0,49,"['Pre-med', 'Premed', 'Med Student', 'Medical School', 'Med School', 'Medical Student', 'ai in medicine', 'artificial intelligence', 'future of ai in medicine', 'chatgpt', 'chat gpt', 'convolutional neural network', 'kawasaki disease', 'mayo clinic', 'machine learning algorithm', 'methotrexate', 'georgia institute of technology', 'ovarian cancer institute', 'utilizing ai in medicine', 'predicting chronic diseases', 'machine learning models', 'ai furthering medicine', 'botmd', 'ai technology in medicine', 'revolutionize medicine']",Med School Insiders,27,https://www.youtube.com/watch?v=TfkHrvct1hg,,,,,2023,6,9,Education
What Is Artificial Intelligence? | Artificial Intelligence (AI) In 10 Minutes | Edureka,oV74Najm6Nc,2019-05-08T13:41:40Z,PT11M16S,27666,0,377,"['yt:cc=on', 'artificial intelligence', 'ai', 'AI In 10 Minutes', 'learn artificial intelligence', 'what is artificial intelligence', 'types of artificial intelligence', 'artificial intelligence tutorial', 'ai tutorial', 'what is ai', 'introduction to artificial intelligence', 'artificial intelligence explained', 'ai explained', 'ai applications', 'introduction to ai', 'what is ai technology', 'edureka', 'ai edureka', 'deep learning edureka', 'artificial intelligence for beginners', 'Artificial intelligence edureka']",edureka!,27,https://www.youtube.com/watch?v=oV74Najm6Nc,,,,,2019,5,11,Education
OpenAI CEO admits he fears artificial intelligence causing &quot;significant harm to the world&quot;,ftjMM6fBRaw,2023-05-16T18:05:25Z,PT1M24S,59,0,38,"['openai', 'ai', 'artificial intelligence', 'sam altman', 'senate hearing', 'news', 'cbs news']",CBS News,25,https://www.youtube.com/watch?v=ftjMM6fBRaw,,,,,2023,5,1,News & Politics
When will artificial intelligence surpass human intelligence?,mWPks7PwvMQ,2023-04-26T21:02:02Z,PT29M39S,306,0,83,"['neuro transmissions', 'alie astrocyte', 'neuroscience', 'brain', 'chatgpt', 'chat gpt', 'chatgpt explained', 'ai', 'what is chat gpt', 'chatgpt 4', 'AI', 'Artificial Intelligence', 'Machine Learning', 'Natural Language Processing', 'Chatbot', 'GPT', 'GPT-3', 'Singularity', 'AGI', 'Sentience', 'Neural Networks', 'Deep Learning', 'Tech', 'Technology', 'Future', 'Futurism', 'OpenAI', 'Elon Musk', 'how to use chatgpt', 'gpt', 'bing', 'bard', 'auto chatgpt', 'ai tools', 'Open AI', 'ai singularity', 'what is the singularity', 'technological singularity', 'deep learning']",Neuro Transmissions,27,https://www.youtube.com/watch?v=mWPks7PwvMQ,,,,,2023,4,29,Education
Artificial intelligence could replace millions of jobs in the U.S.,G5X2MoWUedI,2023-04-05T19:43:25Z,PT3M18S,451,0,314,"['MoneyWatch', 'artificial intelligence', 'technology', 'chatGPT', 'United States', 'CBS News', 'economy', 'news']",CBS News,25,https://www.youtube.com/watch?v=G5X2MoWUedI,,,,,2023,4,3,News & Politics
4 Ways Artificial Intelligence is Transforming Healthcare,TfkHrvct1hg,2023-06-24T15:00:29Z,PT9M41S,625,0,49,"['Pre-med', 'Premed', 'Med Student', 'Medical School', 'Med School', 'Medical Student', 'ai in medicine', 'artificial intelligence', 'future of ai in medicine', 'chatgpt', 'chat gpt', 'convolutional neural network', 'kawasaki disease', 'mayo clinic', 'machine learning algorithm', 'methotrexate', 'georgia institute of technology', 'ovarian cancer institute', 'utilizing ai in medicine', 'predicting chronic diseases', 'machine learning models', 'ai furthering medicine', 'botmd', 'ai technology in medicine', 'revolutionize medicine']",Med School Insiders,27,https://www.youtube.com/watch?v=TfkHrvct1hg,,,,,2023,6,9,Education
Artificial intelligence: Experts warn of AI extinction threat to humans,LCOK9nO_Dys,2023-05-30T21:31:18Z,PT2M49S,187,0,110,"['SKY NEWS LIVE', 'SKY NEWS LATEST', 'SKY NEWS', 'SKY LIVE', 'WATCH SKY NEWS', 'WATCH SKY LIVE', 'AI', 'ARTIFICIAL INTELLIGENCE', 'artificial intelligence', 'Stability AI', 'GPT4', ""OpenAI's GPT4"", 'Tom Clarke', 'OpenAI', 'Sam Altman', 'United States Congress', 'Getty Images', 'human extinction']",Sky News,24,https://www.youtube.com/watch?v=LCOK9nO_Dys,,,,,2023,5,2,Entertainment
New rise in artificial intelligence &quot;expert&quot; jobs,sLjiF_M4Bps,2023-08-17T20:07:46Z,PT4M29S,134,0,27,"['Artificial Intelligence', 'ai', 'tech jobs']",CBS News,25,https://www.youtube.com/watch?v=sLjiF_M4Bps,,,,,2023,8,4,News & Politics
Does artificial intelligence pose a risk to humans? | The Bottom Line,SOteUpH6Ln0,2023-08-17T11:46:44Z,PT24M10S,139,0,41,"['AI', 'Al Jazeera', 'Al Jazeera English', 'Artificial Intelligence', 'Does artificial intelligence pose a risk to humans?', 'Technology', 'The Bottom line', 'al Jazeera', 'al jazeera English', 'al jazeera bottom line', 'al jazeera live', 'al jazeera video', 'aljazeera English', 'aljazeera latest', 'aljazeera live', 'aljazeera live news', 'bottom line', 'latest news', 'news headlines']",Al Jazeera English,25,https://www.youtube.com/watch?v=SOteUpH6Ln0,,,,,2023,8,24,News & Politics
Artificial Intelligence #shorts,8VNcz9uxG6g,2023-03-30T20:00:04Z,PT18S,13,0,2,"['science', 'national science foundation', 'nsf', '2023', 'captions']",National Science Foundation News,28,https://www.youtube.com/watch?v=8VNcz9uxG6g,,,,,2023,3,0,Science & Technology
Artificial intelligence could replace millions of jobs in the U.S.,G5X2MoWUedI,2023-04-05T19:43:25Z,PT3M18S,451,0,314,"['MoneyWatch', 'artificial intelligence', 'technology', 'chatGPT', 'United States', 'CBS News', 'economy', 'news']",CBS News,25,https://www.youtube.com/watch?v=G5X2MoWUedI,,,,,2023,4,3,News & Politics
What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,ad79nYk2keg,2019-04-30T14:30:01Z,PT5M28S,20359,0,2661,"['what is ai', 'artificial intelligence', 'what is artificial inteliigence', 'ai for beginners', 'artificial intelligence applications', 'artificial intelligence basics', 'artificial intelligence explained', 'artificial intelligence for beginners', 'artificial intelligence tutorial', 'introduction to ai', 'introduction to artificial intelligence', 'machine learning', 'simplilearn', 'types of artificial intelligence', 'what is ai technology', 'what is artificial intelligence', 'what is deep learning']",Simplilearn,27,https://www.youtube.com/watch?v=ad79nYk2keg,,,,,2019,4,5,Education
എന്താണ് ശെരിക്കും Artificial Intelligence - Ep 1 | Malayalam Ai Video സീരീസ് | Umer Abdussalam,Rui_ezRM3ZU,2023-04-25T14:00:42Z,PT4M32S,625,0,37,[],Umer Abdussalam,25,https://www.youtube.com/watch?v=Rui_ezRM3ZU,,,,,2023,4,4,News & Politics
When will artificial intelligence surpass human intelligence?,mWPks7PwvMQ,2023-04-26T21:02:02Z,PT29M39S,306,0,83,"['neuro transmissions', 'alie astrocyte', 'neuroscience', 'brain', 'chatgpt', 'chat gpt', 'chatgpt explained', 'ai', 'what is chat gpt', 'chatgpt 4', 'AI', 'Artificial Intelligence', 'Machine Learning', 'Natural Language Processing', 'Chatbot', 'GPT', 'GPT-3', 'Singularity', 'AGI', 'Sentience', 'Neural Networks', 'Deep Learning', 'Tech', 'Technology', 'Future', 'Futurism', 'OpenAI', 'Elon Musk', 'how to use chatgpt', 'gpt', 'bing', 'bard', 'auto chatgpt', 'ai tools', 'Open AI', 'ai singularity', 'what is the singularity', 'technological singularity', 'deep learning']",Neuro Transmissions,27,https://www.youtube.com/watch?v=mWPks7PwvMQ,,,,,2023,4,29,Education
AI regulation: How scared should we be of artificial intelligence? | DW Business,klCheA8pWSQ,2023-05-06T08:15:41Z,PT9M14S,1402,0,436,['DW News'],DW News,25,https://www.youtube.com/watch?v=klCheA8pWSQ,,,,,2023,5,9,News & Politics
Bill Gates says government isn’t ready to regulate artificial intelligence,G3Ov4lXIJ1E,2023-05-08T14:49:30Z,PT9M43S,2199,0,950,"['AI', 'Bill', 'ChatGPT', 'Gates', 'Government', 'Microsoft', 'Regulate', 'abc', 'abcnl', 'news', 'p_cmsid=2494279', 'p_vid=news-99168036', 'regulatory', 'technology', 'update']",ABC News,25,https://www.youtube.com/watch?v=G3Ov4lXIJ1E,,,,,2023,5,9,News & Politics
How Will Artificial Intelligence Take Us To The Stars?,IyQJdj8NqPU,2023-08-25T14:00:19Z,PT18M39S,243,0,21,"['insane curiosity', 'space', 'science', 'astronomy', 'how will artificial intelligence will take us to the stars', 'artificial intelligence for space exploration', 'a.i for space exploration', 'gpt4', 'chat gpt4 use', 'cimon 2', 'what is cimon 2', 'gpt4 for space travel', 'artificial intelligence', 'space travel', 'chatgpt', 'ai in space', 'colonizing space with a.i', 'what is chatgpt', 'ai in space exploration', 'machine learning', 'future technology']",Insane Curiosity,28,https://www.youtube.com/watch?v=IyQJdj8NqPU,,,,,2023,8,18,Science & Technology
